Vardas		Pavarde		ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	ND16	ND17	ND18	ND19	ND20	ND21	ND22	ND23	ND24	ND25	ND26	ND27	ND28	ND29	egz
Vardas1		Pavarde1	0	9	0	5	8	10	7	10	3	4	9	10	2	5	5	9	0	8	5	3	6	6	5	1	1	5	3	10	3	8
Vardas2		Pavarde2	1	9	6	2	5	10	7	10	0	1	0	1	9	9	1	10	2	9	2	7	8	5	9	5	5	3	6	2	1	10
Vardas3		Pavarde3	7	8	8	6	2	1	5	6	6	7	8	10	7	9	2	10	5	8	10	0	1	3	9	4	2	1	2	8	2	6
Vardas4		Pavarde4	10	5	5	5	7	1	1	6	2	6	4	10	1	3	4	3	2	8	10	9	8	3	8	10	6	9	0	9	4	8
Vardas5		Pavarde5	7	0	7	8	6	2	7	9	0	7	6	10	6	6	6	8	3	5	2	7	4	8	7	8	5	4	1	3	5	2
Vardas6		Pavarde6	1	3	10	6	6	8	3	0	2	8	0	2	5	9	10	1	0	9	7	4	3	8	5	8	0	4	6	1	10	5
Vardas7		Pavarde7	10	8	5	1	0	6	8	4	10	1	3	8	3	5	9	9	10	1	1	9	1	0	2	4	1	3	8	7	0	7
Vardas8		Pavarde8	9	5	2	1	9	5	7	6	2	2	0	8	0	6	10	8	5	10	2	7	0	8	9	4	2	0	5	8	0	9
Vardas9		Pavarde9	5	5	8	1	6	4	2	7	8	4	3	0	3	8	10	0	9	5	4	3	0	0	6	2	5	10	2	6	9	7
Vardas10	Pavarde10	4	9	5	1	4	8	8	10	10	7	8	1	1	8	8	9	0	3	10	1	5	1	9	3	9	0	2	4	8	4
