vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas1		pavarde1		3	2	1	1	9	7	6	6	4	10	2	1	6	5	4	3	2	5	6	10	8		6.66
vardas2		pavarde2		6	8	5	7	9	3	6	2	5	5	1	10	1	3	6	10	7	1	2	7	9		7.48
vardas3		pavarde3		3	4	4	8	1	2	8	1	10	6	9	8	2	10	4	3	3	2	10	7	10		8.1
vardas4		pavarde4		6	2	9	10	4	2	2	1	1	2	4	2	6	9	1	5	1	4	6	6	8		6.46
vardas5		pavarde5		2	3	9	10	4	3	8	2	8	3	7	6	3	3	2	4	9	8	2	10	2		3.32
vardas6		pavarde6		9	8	4	8	9	1	4	5	3	10	8	4	1	7	6	4	8	2	2	3	7		6.32
vardas7		pavarde7		4	5	9	8	6	2	10	5	7	7	10	5	2	9	2	3	6	5	6	7	3		4.16
vardas8		pavarde8		9	5	10	8	10	1	6	4	6	10	3	3	4	7	1	2	1	1	8	9	10		8.16
vardas9		pavarde9		9	1	2	5	4	2	5	1	9	2	7	1	10	4	1	8	10	8	8	1	9		7.36
vardas10		pavarde10		4	3	5	9	2	10	6	3	9	10	10	6	2	3	2	1	1	3	2	1	8		6.64
vardas11		pavarde11		7	3	6	3	6	10	7	6	5	3	1	5	1	10	4	1	6	9	6	6	1		2.7
vardas12		pavarde12		4	8	4	7	3	1	10	5	2	7	8	8	2	4	7	3	6	6	5	1	8		6.82
vardas13		pavarde13		2	8	7	1	1	10	7	5	9	5	8	3	7	7	6	2	3	3	3	4	9		7.42
vardas14		pavarde14		10	8	6	2	5	8	4	2	10	6	7	10	8	10	3	3	1	4	3	1	2		3.42
vardas15		pavarde15		10	4	2	5	2	2	6	5	6	5	8	3	8	2	10	10	4	8	7	2	2		3.38
vardas16		pavarde16		7	5	4	5	4	1	6	9	8	8	3	2	2	8	9	4	1	3	4	2	5		4.9
vardas17		pavarde17		10	9	8	9	3	5	1	6	4	7	5	2	5	6	7	9	2	2	1	4	6		5.7
vardas18		pavarde18		7	6	7	8	4	5	5	8	2	7	5	1	9	3	1	2	8	2	9	2	6		5.62
vardas19		pavarde19		2	4	7	10	2	5	4	9	4	8	3	3	8	4	4	8	4	10	7	1	3		3.94
vardas20		pavarde20		8	8	4	5	1	4	9	4	1	10	6	4	9	6	2	5	5	7	10	5	6		5.86
vardas21		pavarde21		3	9	10	7	4	10	10	7	4	4	10	4	9	2	1	10	6	6	8	5	2		3.78
vardas22		pavarde22		8	5	2	6	1	6	6	4	9	3	5	1	4	3	1	3	3	9	9	2	2		3
vardas23		pavarde23		6	6	8	1	4	7	2	6	7	8	7	7	6	9	10	10	6	3	4	7	9		7.88
vardas24		pavarde24		8	6	10	1	6	9	2	1	2	1	3	9	8	3	6	8	6	8	6	8	2		3.42
