vardas		pavarde		nd1	nd2	nd3	nd4	nd5	egz
agne		burokaite	2	8	2	2	2	8
timas		jackus		9	6	7	8	2	6
jonas		bruzga		10	9	10	10	7	8
jonas		siukstelis	6	2	10	9	6	7
brigita		ci		9	7	8	9	4	9
rapolas		kubaitis	9	2	9	2	5	7
germantas	jus		9	6	7	8	5	9
simonas		valkiunas	9	5	6	7	10	9
jurate		ignataviciute	8	6	7	2	6	8
meigardas	lavickas	0	8	0	8	0	9
vakaris		likas		9	7	2	6	2	7
paulius		kuprevicius	2	6	5	2	6	10
lukas		kuzma		8	5	6	7	9	6
justas		krukonis	9	6	7	8	7	9
benas		puckus		5	6	7	8	6	9
paulina		kulyte		8	6	2	8	7	6
marta		adzikauskaite	2	6	7	7	10	9
emilis		dolgov		8	7	5	6	5	6
paulius		pocius		8	7	6	5	8	9
timas		jackus		7	5	6	8	7	6
